# Trials,Blocksize,MegaTrials/Second,Probability
1024,8,27.03,8.203
1024,32,29.41,9.473
1024,64,28.57,7.91
1024,128,27.78,8.984
1024,256,27.03,7.52
4096,8,111.11,8.813
4096,32,114.29,9.229
4096,64,111.11,8.911
4096,128,105.26,7.959
4096,256,114.29,8.252
16384,8,400,8.356
16384,32,421.05,9.027
16384,64,444.44,8.795
16384,128,432.43,8.832
16384,256,444.44,8.649
65536,8,1256.44,8.64
65536,32,1472.32,8.781
65536,64,1511.44,8.743
65536,128,1563.36,8.618
65536,256,1564.55,8.768
262144,8,2685.02,8.775
262144,32,3884.31,8.73
262144,64,4732.52,8.839
262144,128,5007.33,8.697
262144,256,5132.83,8.696
1048576,8,4173.74,8.76
1048576,32,10601.1,8.746
1048576,64,13212.9,8.729
1048576,128,12910.95,8.739
1048576,256,13207.58,8.706
2097152,8,4555.86,8.765
2097152,32,13914.23,8.749
2097152,64,17940.32,8.758
2097152,128,18063.95,8.752
2097152,256,18224.69,8.726
